iter	Passed	Remaining
407	4724	6855
408	4732	6837
409	4739	6820
410	4746	6802
411	4759	6792
412	4772	6783
413	4786	6775
414	4796	6761
415	4807	6748
416	4821	6740
417	4830	6725
418	4837	6707
419	4844	6690
420	4857	6680
421	4871	6671
422	4881	6658
423	4893	6647
424	4901	6630
425	4912	6618
426	4929	6615
427	4939	6601
428	4969	6614
429	4986	6609
430	4997	6597
431	5006	6582
432	5021	6575
433	5030	6560
434	5038	6544
435	5055	6539
436	5067	6529
437	5081	6520
438	5090	6505
439	5102	6494
440	5114	6482
441	5124	6469
442	5131	6451
443	5138	6434
444	5151	6424
445	5164	6414
446	5172	6399
447	5186	6390
448	5193	6373
449	5200	6356
450	5215	6349
451	5223	6333
452	5231	6316
453	5238	6299
454	5250	6289
455	5260	6275
456	5276	6269
457	5285	6255
458	5292	6238
459	5300	6222
460	5311	6210
461	5319	6195
462	5326	6178
463	5333	6161
464	5347	6152
465	5361	6143
466	5371	6131
467	5381	6116
468	5388	6101
469	5395	6084
470	5403	6068
471	5416	6058
472	5423	6042
473	5429	6025
474	5444	6017
475	5457	6007
476	5470	5997
477	5478	5982
478	5486	5967
479	5493	5951
480	5501	5936
481	5513	5925
482	5521	5910
483	5528	5894
484	5540	5883
485	5548	5867
486	5559	5856
487	5573	5847
488	5581	5832
489	5594	5822
490	5607	5813
491	5616	5799
492	5622	5782
493	5629	5766
494	5642	5756
495	5655	5746
496	5663	5731
497	5674	5720
498	5688	5710
499	5696	5696
500	5707	5684
501	5715	5670
502	5722	5654
503	5729	5638
504	5742	5628
505	5755	5619
506	5766	5607
507	5776	5594
508	5788	5583
509	5797	5570
510	5809	5559
511	5816	5544
512	5824	5528
513	5836	5518
514	5845	5504
515	5856	5493
516	5869	5483
517	5878	5469
518	5884	5453
519	5891	5438
520	5904	5428
521	5912	5414
522	5921	5400
523	5934	5391
524	5947	5381
525	5954	5366
526	5967	5356
527	5975	5342
528	5987	5331
529	5998	5319
530	6008	5307
531	6015	5291
532	6022	5276
533	6035	5266
534	6043	5252
535	6053	5240
536	6066	5230
537	6075	5217
538	6082	5202
539	6091	5189
540	6103	5178
541	6112	5165
542	6122	5152
543	6134	5142
544	6147	5132
545	6156	5118
546	6166	5107
547	6180	5097
548	6189	5084
549	6200	5073
550	6208	5059
551	6215	5044
552	6222	5030
553	6234	5018
554	6241	5004
555	6253	4993
556	6265	4982
557	6272	4968
558	6279	4953
559	6286	4939
560	6298	4928
561	6310	4918
562	6319	4904
563	6330	4893
564	6344	4884
565	6353	4871
566	6364	4860
567	6377	4850
568	6386	4837
569	6397	4826
570	6411	4816
571	6426	4808
572	6440	4799
573	6449	4786
574	6461	4775
575	6476	4767
576	6485	4754
577	6498	4744
578	6510	4733
579	6520	4721
580	6531	4710
581	6542	4699
582	6556	4689
583	6565	4676
584	6576	4665
585	6586	4653
586	6593	4638
587	6603	4626
588	6612	4614
589	6624	4603
590	6637	4593
591	6648	4581
592	6656	4568
593	6668	4557
594	6677	4545
595	6683	4530
596	6690	4516
597	6703	4506
598	6710	4492
599	6721	4481
600	6730	4468
601	6742	4457
602	6753	4446
603	6764	4434
604	6773	4422
605	6786	4412
606	6795	4399
607	6801	4385
608	6808	4371
609	6821	4361
610	6829	4348
611	6842	4337
612	6854	4327
613	6862	4314
614	6868	4300
615	6875	4286
616	6887	4275
617	6895	4262
618	6907	4251
619	6919	4240
620	6932	4231
621	6940	4217
622	6951	4206
623	6964	4196
624	6972	4183
625	6979	4169
626	6985	4155
627	6995	4143
628	7006	4132
629	7017	4121
630	7032	4112
631	7049	4104
632	7067	4097
633	7082	4088
634	7099	4080
635	7118	4074
636	7132	4064
637	7147	4055
638	7163	4047
639	7176	4036
640	7184	4023
641	7199	4014
642	7215	4006
643	7227	3995
644	7256	3994
645	7270	3983
646	7285	3974
647	7302	3966
648	7318	3958
649	7335	3949
650	7372	3952
651	7408	3954
652	7423	3944
653	7445	3939
654	7465	3932
655	7478	3921
656	7520	3926
657	7544	3921
658	7571	3917
659	7584	3906
660	7598	3896
661	7614	3887
662	7628	3877
663	7644	3868
664	7658	3858
665	7667	3845
666	7674	3831
667	7680	3817
668	7693	3806
669	7702	3793
670	7712	3781
671	7724	3770
672	7737	3759
673	7745	3746
674	7757	3735
675	7765	3722
676	7772	3708
677	7780	3694
678	7792	3683
679	7800	3670
680	7811	3658
681	7823	3648
682	7835	3636
683	7844	3624
684	7856	3612
685	7864	3599
686	7872	3586
687	7883	3575
688	7897	3564
689	7909	3553
690	7917	3540
691	7931	3530
692	7938	3516
693	7952	3506
694	7963	3494
695	7969	3481
696	7978	3468
697	7989	3456
698	8002	3445
699	8016	3435
700	8025	3423
701	8036	3411
702	8045	3398
703	8057	3387
704	8064	3374
705	8070	3360
